
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	. TriDebounce, 54, 45, 48, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce_0, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	.	. Debounce_1, 18, 15, 16, 0, 0, 0, 0, 0, 0
.	.	. uP_if, 311, 291, 100, 0, 0, 0, 0, 0, 0
.	.	.	. Interrupts, 30, 28, 0, 0, 0, 0, 0, 0, 0
.	. CoreAPB3, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	. m2s010_som_CommsFPGA_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 2, 0
.	. m2s010_som_ID_RES_0_IO, 0, 0, 0, 0, 0, 0, 0, 0, 4
.	. m2s010_som_sb, 127, 83, 14, 0, 0, 0, 0, 6, 79
.	.	. CoreConfigP, 76, 65, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreResetP, 50, 17, 14, 0, 0, 0, 0, 2, 0
.	.	. m2s010_som_sb_CAM_SPI_1_CLK_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. m2s010_som_sb_CAM_SPI_1_SS0_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. m2s010_som_sb_CCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. m2s010_som_sb_FABOSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. m2s010_som_sb_GPIO_1_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. m2s010_som_sb_GPIO_6_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. m2s010_som_sb_GPIO_7_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	. m2s010_som_sb_MSS, 1, 1, 0, 0, 0, 0, 0, 2, 71
.	.	. m2s010_som_sb_OTH_SPI_1_SS0_IO, 0, 0, 0, 0, 0, 0, 0, 0, 1
